Name,X [ ],Y [ ],DeltaE [kcal/mol],Reaction,HOMO Energy [eV],Mulliken Charge [a.u],Molecular Weight in [a.u.],Molecular Shape [ ],Molecular Volume [A^3],L1,L2,bond type
Au_47.56,8.068095403944e+00,9.952397216102e+00,1.830000,Hiyama,-9.48829,0.102657,558.433,0.46429,653.0738,47,56,4
Au_47.57,7.875479986880e+00,1.000108474055e+01,-1.690000,Stille,-9.44283,0.083484,554.469,0.42857,698.4183,47,57,4
Au_47.58,7.807320836829e+00,1.008565117499e+01,-2.470000,Stille,-9.39547,0.106858,554.469,0.42857,771.6738,47,58,4
Au_47.59,7.766469535656e+00,1.025606066286e+01,-3.750000,Stille,-9.36716,0.095359,554.469,0.46429,930.5262,47,59,4
Au_4.75,-6.319283519261e+00,-1.230405372077e+01,13.446681,None,NAN,NAN,538.425,0.31818,555.5520,4,75,4
Au_47.60,7.070424368537e+00,1.078336619553e+01,-1.360000,Stille,-9.31299,0.119530,570.468,0.41379,1232.449,47,60,4
Au_47.61,7.670417423681e+00,1.021032467914e+01,0.420000,Hiyama,-9.40118,0.117526,570.468,0.44828,911.8187,47,61,4
Au_47.62,7.825188683420e+00,1.011564691538e+01,-0.070000,Stille,-9.34157,0.092333,570.468,0.48276,819.3630,47,62,4
Au_47.63,5.831141690855e+00,1.411531231793e+01,0.030000,Stille,-9.01437,0.085995,583.511,0.46667,1668.387,47,63,4
Au_47.64,7.208786488654e+00,1.053263763059e+01,-0.120000,Stille,-9.43249,0.065457,568.496,0.41379,1149.910,47,64,4
Au_47.65,6.314712450531e+00,1.165118354886e+01,-1.080000,Stille,-9.37777,0.064770,582.523,0.43333,1438.831,47,65,4
Au_47.66,7.394114881469e+00,1.044161167737e+01,-0.450228,Stille,NAN,NAN,594.413,0.43333,1087.109,47,66,4
Au_47.67,1.010791982744e+01,2.218488805258e+01,1.072218,Hiyama,NAN,NAN,529.416,0.57143,1048.623,47,67,4
Au_47.68,9.903628907359e+00,2.104743103629e+01,1.240000,Hiyama,-9.53892,0.217928,519.420,0.48,954.0998,47,68,4
Au_47.69,8.264445432355e+00,1.012273483189e+01,2.350000,Hiyama,-9.52068,0.109813,520.452,0.48,795.4645,47,69,4
Au_4.76,-9.525534434731e+00,2.011491693120e+00,23.826950,None,NAN,NAN,787.887,0.36667,1313.920,4,76,4
Au_47.70,7.511492982637e+00,1.010335715009e+01,0.480000,Hiyama,-9.44338,0.092994,582.523,0.43333,818.8563,47,70,4
Au_47.71,-8.878753446537e-01,1.663358363185e+01,7.630000,None,-9.74172,0.253771,489.351,0.52174,537.5677,47,71,4
Au_47.72,-7.570404038574e+00,2.999122984235e+00,-1.953694,Stille,NAN,NAN,662.569,0.37143,1319.268,47,72,4
Au_47.73,-9.115367854029e+00,2.898829987844e+00,2.541488,Hiyama,NAN,NAN,721.593,0.35897,1560.292,47,73,4
Au_47.74,-5.179919847078e+00,3.989903237603e+00,3.743206,Hiyama,NAN,NAN,580.508,0.42857,764.6144,47,74,4
Au_47.75,-5.763187588361e+00,4.098734538212e+00,-5.269773,Stille,NAN,NAN,599.467,0.41379,1167.372,47,75,4
Au_47.76,-1.798880306627e+01,1.496976765598e+01,-2.679831,Stille,NAN,NAN,849.938,0.28571,1877.276,47,76,4
Au_47.77,-1.816934932243e+01,1.486473246628e+01,-2.910669,Stille,NAN,NAN,851.954,0.28,2032.381,47,77,4
Au_47.78,-2.807704501221e+00,1.652118832014e+01,13.046347,None,NAN,NAN,530.404,0.46154,990.4710,47,78,4
Au_47.79,8.202027019451e+00,1.006806035921e+01,14.445642,None,NAN,NAN,530.404,0.46154,751.1292,47,79,4
Au_4.77,-9.317221320422e+00,1.727791853954e+00,17.231203,None,NAN,NAN,789.903,0.36667,1174.224,4,77,4
Au_47.80,1.011730401604e+01,2.201807265644e+01,6.909826,None,NAN,NAN,531.412,0.57143,968.4598,47,80,4
Au_47.81,-8.697655647159e+00,2.563727947872e+00,-1.519478,Stille,NAN,NAN,744.651,0.31707,1159.526,47,81,4
Au_47.82,-6.131565360664e+00,3.467700247635e+00,-1.558002,Stille,NAN,NAN,625.553,0.3871,1128.931,47,82,4
Au_47.83,-7.057232554163e+00,3.161391489078e+00,5.734837,None,NAN,NAN,670.585,0.35294,1259.710,47,83,4
Au_47.84,-9.793359800105e+00,3.129731890842e+00,3.057821,Hiyama,NAN,NAN,727.728,0.38462,1694.897,47,84,4
Au_47.85,7.335820382448e+00,1.009540114010e+01,-4.201496,Stille,NAN,NAN,607.533,0.4375,839.4646,47,85,4
Au_47.86,7.341916392039e+00,1.014045940418e+01,-5.237307,Stille,NAN,NAN,605.517,0.46875,885.4555,47,86,4
Au_47.87,7.365351695391e+00,1.121491154930e+01,0.509588,Hiyama,NAN,NAN,543.446,0.44444,1277.707,47,87,4
Au_47.88,7.987844646628e+00,9.971789082655e+00,-3.210002,Stille,NAN,NAN,574.480,0.48276,699.0965,47,88,4
Au_47.89,7.327890652816e+00,1.024919918538e+01,-3.480507,Stille,NAN,NAN,583.511,0.4,981.8779,47,89,4
Au_4.78,-3.217841247485e+00,4.690739684867e+00,29.338511,None,NAN,NAN,468.353,0.36842,552.0306,4,78,4
Au_47.90,6.286806112610e+00,1.073112879212e+01,13.496068,None,NAN,NAN,632.539,0.41176,1253.385,47,90,4
Au_4.79,6.529313477914e+00,-6.496553969017e+00,31.248154,None,NAN,NAN,469.361,0.36842,537.3551,4,79,4
Au_4.7,-8.531053041263e+00,-1.075424270704e+01,20.434335,None,NAN,NAN,639.660,0.26667,848.7334,4,7,4
Au_4.80,8.067504271095e+00,-2.099265561796e+01,26.105548,None,NAN,NAN,469.361,0.35714,545.0942,4,80,4
Au_4.81,-9.087171378824e+00,-1.026587837968e+01,16.900329,None,NAN,NAN,680.584,0.26471,982.8351,4,81,4
Au_4.82,-6.763860640319e+00,-1.233686186364e+01,16.947523,None,NAN,NAN,564.510,0.29167,548.3822,4,82,4
Au_4.83,-7.546399664741e+00,-1.131000177694e+01,17.166655,None,NAN,NAN,609.543,0.2963,731.3745,4,83,4
